,Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Status,Enrollment Status,Type,Start Time,End Time,Days of Week,Room,Building,Instructors
7439,2020,Fall,2020-fa,MUS,456,Adv Jazz Piano Improvisation,"Study of solo jazz piano improvisation on an advanced level. Includes practical experience in traditional, modern, and abstract solo performance, as well as theoretical, stylistic, and historical background. 2 undergraduate hours. 2 graduate hours. May be repeated to a maximum of 4 hours. Prerequisite: MUS 161 or equivalent.",2 hours.,2 undergraduate hours. 2 graduate hours. May be repeated to a maximum of 4 hours. Prerequisite: MUS 161 or equivalent.,,,30666,A,A,1,A,Open,LBD,2:00 PM,3:50 PM,T,103,Smith Memorial Hall,"Hickey, J"
7440,2020,Fall,2020-fa,MUS,459,Professional Internship,"Professional work with an approved musical organization that is external to the School of Music, in an area related to the student's academic program; exposure to and participation in professional music-related activities. Full documentation and approval of internship activities required. The default credit will always be 0 credits unless a student, with the faculty advisor's support, petitions the appropriate academic committee (UG or Grad) with a detailed proposal outlining the academic nature, content, and scope of the internship. 0 to 12 undergraduate hours. 0 to 12 graduate hours. Approved for S/U grading only. May be repeated in separate terms to a maximum of 4 hours if topics vary.",0 TO 12 hours.,0 to 12 undergraduate hours. 0 to 12 graduate hours. Approved for S/U grading only. May be repeated in separate terms to a maximum of 4 hours if topics vary.,,"Junior, Senior, or Graduate standing required; approval of faculty advisor and Associate Director of the School of Music.",62828,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7441,2020,Fall,2020-fa,MUS,462,Jazz Listening Seminar I,Examines the fundamental aural elements of improvisation in a jazz idiom. A chronological survey of jazz artists presented via recordings. Topics will vary with the introduction of each new artist or group. 2 undergraduate hours. 2 graduate hours. Prerequisite: Jazz majors or consent of instructor.,2 hours.,2 undergraduate hours. 2 graduate hours. Prerequisite: Jazz majors or consent of instructor.,,,58637,A,A,1,A,Open (Restricted),CNF,3:00 PM,3:50 PM,MW,25,Smith Memorial Hall,"Spencer, J"
7442,2020,Fall,2020-fa,MUS,464,Jazz History I,"Presents jazz music history chronologically while providing historical background information drawn from other disciplines to illuminate the many ways that jazz has influenced, and been  influenced by, American and global societies. Explores the many ways that jazz has encountered other art forms. Unpacks the many issues deeply associated with jazz music's history -- issues of race, class, mass media, gender, critical reception, etc. 3 undergraduate hours. 4 graduate hours. Prerequisite: Prior musical knowledge and training preferred but not required. Consent of instructor.",3 OR 4 hours.,3 undergraduate hours. 4 graduate hours. Prerequisite: Prior musical knowledge and training preferred but not required. Consent of instructor.,,,58635,A,A,1,A,Open,CNF,8:30 AM,9:50 AM,TR,25,Smith Memorial Hall,"Spencer, J"
7443,2020,Fall,2020-fa,MUS,474,Vocal Repertoire I,"Study of the standard solo literature including solo excerpts from larger works, i.e., cantata, oratorio, and opera. Supplements the student's knowledge of the literature in his/her major field. 1 undergraduate hour. 1 graduate hour. Prerequisite: Junior standing in voice, or consent of instructor and concurrent registration in MUS 481.",1 hours.,"1 undergraduate hour. 1 graduate hour. Prerequisite: Junior standing in voice, or consent of instructor and concurrent registration in MUS 481.",,,30676,A,A,1,A,Open (Restricted),LBD,2:00 PM,2:50 PM,MW,4501C,Krannert Center for Perf Arts,"Tilley, M"
7444,2020,Fall,2020-fa,MUS,477,Principles of Accompanying,"Principles of accompanying singers and instrumentalists. Practical experience in accompanying and facility in sight reading for keyboard performers. 2 or 4 undergraduate hours.  2 or 4 graduate hours. May be repeated. (Summer session, 2 undergraduate or graduate hours). Prerequisite: Advanced undergraduate or graduate standing in music or music education, and consent of instructor.",2 OR 4 hours.,"2 or 4 undergraduate hours.  2 or 4 graduate hours. May be repeated. (Summer session, 2 undergraduate or graduate hours). Prerequisite: Advanced undergraduate or graduate standing in music or music education, and consent of instructor.",,,56850,CR,A,1,A,Open (Restricted),CNF,ARRANGED,,,3060,Music Building,"Robards, C"
7446,2020,Fall,2020-fa,MUS,499,Proseminar in Music,"Special preparation in specialized fields of musicology, composition-theory, performance, and music education. 0.5 to 4 undergraduate hours. 0.5 to 4 graduate hours. May be repeated to a maximum of 8 hours; undergraduate students in open studies may repeat the course unlimited times with approval of the open studies advisor. Prerequisite: Senior or graduate standing in music or music education; consent of instructor.",0.5 TO 4 hours.,0.5 to 4 undergraduate hours. 0.5 to 4 graduate hours. May be repeated to a maximum of 8 hours; undergraduate students in open studies may repeat the course unlimited times with approval of the open studies advisor. Prerequisite: Senior or graduate standing in music or music education; consent of instructor.,,,10014,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7469,2020,Fall,2020-fa,MUS,500,Artist Diploma Recital,Recital presented in partial fulfillment of requirements for the Artist Diploma. Approved for S/U grading only. May be repeated in the same term to a maximum of 2 hours. May be repeated in separate terms to a maximum of 4 hours. Prerequisite: Admission to the Artist Diploma program on the basis of an audition.,1 hours.,Approved for S/U grading only. May be repeated in the same term to a maximum of 2 hours. May be repeated in separate terms to a maximum of 4 hours. Prerequisite: Admission to the Artist Diploma program on the basis of an audition.,,,72657,AY,A,1,A,Open (Restricted),CNF,ARRANGED,,,,Music Building,"Yeung, A"
7481,2020,Fall,2020-fa,MUS,501,Grad Music History Review,Review of Western music history both before 1750 (MUS 501 section A) and after 1750 (MUS 501 section B). Refreshes knowledge and understanding of representative examples of repertoire as well as the historical context in which music was written. May be repeated up to 8 hours in separate terms.,4 hours.,May be repeated up to 8 hours in separate terms.,,Graduate standing in music. This course is for graduate students who fail the Graduate Music History entrance exam. Does not count towards the graduate degree.,62407,A,A,1,A,Open (Restricted),LCD,8:00 AM,9:20 AM,TR,1030,Music Building,"Siletti, M"
7482,2020,Fall,2020-fa,MUS,502,Graduate Theory Review,"Review of concepts from undergraduate music theory, including materials from the common practice period (50xA) and the twentieth century (50xB). Concepts studied include compositional materials and basic form and analysis. May be repeated up to 6 hours in separate terms if topics vary. Credit is not given towards graduate degrees.",3 hours.,May be repeated up to 6 hours in separate terms if topics vary. Credit is not given towards graduate degrees.,,Graduate standing in music.,62409,A,A,1,A,Open (Restricted),CNF,11:00 AM,11:50 AM,MWF,359,Music Building,"Taube, H"
7483,2020,Fall,2020-fa,MUS,504,Grad. Jazz Improv. I,"Practical application of mid- to upper level melodic, harmonic, and rhythmic principles used in jazz improvisation. Practice in the use of jazz chord qualities, upper extensions, and upper altered extensions used in jazz. Descriptions of mid-level improvisational sequences, modal improvising, symmetric/synthetic scale usage, symmetric chord usage, and approach-note/enclosure techniques. 4 graduate hours. No professional credit. Prerequisite: Graduate standing in Jazz Performance or consent of instructor. For Graduate Jazz Performance majors only.",4 hours.,4 graduate hours. No professional credit. Prerequisite: Graduate standing in Jazz Performance or consent of instructor. For Graduate Jazz Performance majors only.,,,64411,A,A,1,A,Open (Restricted),CNF,10:00 AM,10:50 AM,TR,106,Smith Memorial Hall,"Carrillo, T"
7484,2020,Fall,2020-fa,MUS,505,Individ Topics in Music Theory,"Studies in specialized areas of analysis, theoretical systems, and aesthetics for composition and theory majors and cognates. May be repeated to a maximum of 12 hours. Prerequisite: Graduate standing in music and consent of instructor.",2 TO 4 hours.,May be repeated to a maximum of 12 hours. Prerequisite: Graduate standing in music and consent of instructor.,,,10017,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7485,2020,Fall,2020-fa,MUS,506,Graduate Level Composition,Advanced instruction in contemporary compositional practice. May be repeated to a maximum of 16 hours.,2 TO 6 hours.,May be repeated to a maximum of 16 hours.,,,61352,CRC,A,1,A,Open,CNF,4:00 PM,5:20 PM,T,359,Music Building,"Carrillo, C"
7497,2020,Fall,2020-fa,MUS,507,Sem in Music Comp and Theory,"Intensive study of selected topics in the fields of music composition and theory. May be repeated. Prerequisite: Graduate standing in music composition-theory, or consent of instructor.",2 OR 4 hours.,"May be repeated. Prerequisite: Graduate standing in music composition-theory, or consent of instructor.",,,60810,C,A,1,A,Open,LBD,11:00 AM,1:50 PM,F,2334,Music Building,"Tharp, R"
7498,2020,Fall,2020-fa,MUS,509,"Graduate Seminar in Band Conducting, History, and Literature","This seminar will explore current topics facing the contemporary wind band conductor. Subject matter will include but not be limited to the exploration of new literature, works for chamber winds, and an historical survey of cornerstone repertoire. There will also be a conducting component, using a chamber ensemble. 2 graduate hours. No professional credit. May be repeated to a maximum of 8 hours in separate terms, if topics vary. Prerequisite: Graduate Band Conducting Majors and Admitted Cognate Program Members Only, or with Instructor permission.",2 hours.,"2 graduate hours. No professional credit. May be repeated to a maximum of 8 hours in separate terms, if topics vary. Prerequisite: Graduate Band Conducting Majors and Admitted Cognate Program Members Only, or with Instructor permission.",,,69202,A,A,1,A,Open (Restricted),LCD,11:00 AM,12:50 PM,T,146,Harding Band Building,"Peterson, S"
7499,2020,Fall,2020-fa,MUS,511,Fdns/Methods of Musicology I,"Introduction to the field for graduate students in musicology. Includes a study of bibliographic resources and techniques; on-line and CD ROM resources; database creation and management; basic historical method; evidence and argumentation in historical research; critical reading and logical analysis; and the nature and taxonomy of musical sources. Students begin a project on the state of research on a particular subject of their choice, which is to be completed in MUS 512. Prerequisite: Graduate standing in musicology or consent of instructor.",4 hours.,Prerequisite: Graduate standing in musicology or consent of instructor.,,,30716,A,A,1,A,Open (Restricted),LCD,3:00 PM,4:20 PM,MW,360,Music Building,"Magee, J"
7500,2020,Fall,2020-fa,MUS,515,Topics in Vocal Music,"Intensive or comparative study of specific repertoires of vocal music, of particular genres or styles of vocal composition or performance practice, and/or of particular vocal artists. 4 graduate hours. No professional credit. May be repeated to a maximum of 8 hours. Prerequisite: MUS 528A, graduate standing in musicology, or consent of instructor. For graduate students in Music.",4 hours.,"4 graduate hours. No professional credit. May be repeated to a maximum of 8 hours. Prerequisite: MUS 528A, graduate standing in musicology, or consent of instructor. For graduate students in Music.",,,73325,A,A,1,A,Open (Restricted),LCD,2:00 PM,4:50 PM,F,2334,Music Building,"Tsekouras, I"
7501,2020,Fall,2020-fa,MUS,516,Fieldwork and Ethnography,"Prepares students for the various phases of preparing for and doing ethnomusicological fieldwork and ethnographic analysis and writing. Beginning with the project design and grand-writing stages, participants study and practice fieldwork techniques such as participant observations, interviewing, writing and analyzing field notes, and audio and video recording. The politics and ethics of fieldwork and ethnographic writing are considered through readings and discussion. Finally, a variety of approaches to ethnographic writing are considered through the study of finished musical ethnographies. Prerequisite: MUS 512 or consent of instructor.",4 hours.,Prerequisite: MUS 512 or consent of instructor.,,,62981,A,A,1,A,Open,LCD,1:00 PM,3:50 PM,T,360,Music Building,"Buchanan, D"
7502,2020,Fall,2020-fa,MUS,523,Seminar in Musicology,Problems in historical and systematic musicology or ethnomusicology; discussions of special problems and reports on individual research. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in musicology or consent of instructor. Graduate students in music will be considered if they passed MUS 528A (consult Class Schedule for specific section information).,4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in musicology or consent of instructor. Graduate students in music will be considered if they passed MUS 528A (consult Class Schedule for specific section information).,,,32821,A,A,1,A,Open (Restricted),LCD,1:00 PM,3:50 PM,W,2334,Music Building,"Ramirez, C"
7503,2020,Fall,2020-fa,MUS,525,Rdgs in Musicol and Mus Theory,"Individual guidance in intensive readings in the literature of musicology or music theory, selected in consultation with the instructor and in accordance with the needs and interests of the student. May be repeated. (Summer session, 2 graduate hours). Prerequisite: Graduate standing in musicology or music theory.",2 OR 4 hours.,"May be repeated. (Summer session, 2 graduate hours). Prerequisite: Graduate standing in musicology or music theory.",,,10026,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7504,2020,Fall,2020-fa,MUS,528,Res &amp; Bibliography in Music,"Introduction to basic research skills appropriate to graduate study in music. Topics include accessing library resources and online databases; citation formats and plagiarism issues; critical reading and writing; and critical editions of music. For DMA students additional topics include skills for planning and writing a large research paper; study strategies and resources; and professional skills. All DMA students will complete a draft of their proposal for a final DMA project by the conclusion of this class. Required of all incoming graduate students in the MM (2 hours of credit), except those majoring in musicology, and in the DMA (4 hours of credit). Prerequisite: If required, all remedial coursework in ESL and/or music history must be satisfied prior to enrollment.",2 OR 4 hours.,"Prerequisite: If required, all remedial coursework in ESL and/or music history must be satisfied prior to enrollment.",,,30734,A1,A,A,A,Open (Restricted),LCD,9:30 AM,10:50 AM,TR,2334,Music Building,"Eagen, M"
7508,2020,Fall,2020-fa,MUS,529,Transformative Music Education,"Music educators in all settings operate in a crosscurrent of social, musical, educational, and person values. In order to improve our professional practice and transform the profession, we need to examine society's expectations of schools, education, music and the arts as well as our own. In this course, students will learn how sociology can be used to identify and clarify these connections.",2 OR 4 hours.,,,,60372,A,A,1,A,Open (Restricted),LCD,4:00 PM,6:50 PM,T,2334,Music Building,"McCall, J"
7509,2020,Fall,2020-fa,MUS,530,Critical Readings in Mus Ed,Independent critical readings and reflections of topics not treated in regularly scheduled courses. Includes program of approved research that culminates in a written report and/or formal presentations. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music education.,1 TO 4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music education.,,,10022,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7510,2020,Fall,2020-fa,MUS,532,Curricular Perspectives on Music Education,Examines current issues and trends within music education from both a local and global perspective. Focuses on the status and role of the music curriculum in contemporary schools and includes a critical examination of a range of evidence-based principles and approaches that govern music teaching and learning in formal and informal settings. Prerequisite: Graduate standing in music education or consent of instructor.,4 hours.,Prerequisite: Graduate standing in music education or consent of instructor.,,,64959,A,A,1,A,Open (Restricted),LCD,4:00 PM,6:50 PM,M,2334,Music Building,"Nichols, J"
7511,2020,Fall,2020-fa,MUS,535,Philosophic Inquiry in Mus Ed,"Consideration of the philosophical assumptions that have guided decisions regarding why, what, and how music is taught in schools. Assists students in placing their present values and beliefs about music learning in the context of scholarly ideas on this subject. Addresses questions such as: What is music? Why do people listen to, create, and perform music? What is music's value for individuals and society? Why teach music in school? How does music fit the large goals of schooling? How have answers to the foregoing changed over the past century? Prerequisite: Graduate standing in music or music education, or consent of instructor.",4 hours.,"Prerequisite: Graduate standing in music or music education, or consent of instructor.",,,30749,A,A,1,A,Open (Restricted),LCD,9:00 AM,11:50 AM,M,325,Music Building,"Barrett, J"
7512,2020,Fall,2020-fa,MUS,540,Graduate Wind Band Conducting,"Examination of techniques of rehearsal, conducting, and preparation of wind band and chamber wind ensembles for concert performance. Emphasizes discussion, analysis, and preparation of selected scores for private and group lessons; as well as coaching/experience with live ensembles and select performance opportunities. May be repeated to a maximum of 16 hours. Prerequisite: MM wind band conducting students and/or consent of instructor.",4 hours.,May be repeated to a maximum of 16 hours. Prerequisite: MM wind band conducting students and/or consent of instructor.,,,30766,A,A,1,A,Open (Restricted),LCD,ARRANGED,,,167,Harding Band Building,"Peterson, S"
7513,2020,Fall,2020-fa,MUS,544,Doctoral Seminar in Music Education,Weekly seminar involving special topic discussions on critical issues within the profession. Required each semester for all resident doctoral students in music education during their residency. 0 or 2 graduate hours. No professional credit. Prerequisite: Graduate standing in music education.,0 or 2 hours.,0 or 2 graduate hours. No professional credit. Prerequisite: Graduate standing in music education.,,,30798,A,A,1,A,Open (Restricted),CNF,2:00 PM,3:30 PM,M,2334,Music Building,"Nichols, J"
7514,2020,Fall,2020-fa,MUS,546,Orchestral Literature I,"Study of orchestral and symphonic literature from about 1700 to 1850. May be repeated up to 6 hours, Prerequisite: Graduate orchestral conducting majors only; consent of instructor.",2 OR 4 hours.,"May be repeated up to 6 hours, Prerequisite: Graduate orchestral conducting majors only; consent of instructor.",,Open to graduate orchestral conducting majors only.,30720,A,A,1,A,Open (Restricted),LCD,ARRANGED,,,4409,Krannert Center for Perf Arts,"Schleicher, D"
7515,2020,Fall,2020-fa,MUS,548,Advanced Jazz Harmony I,"A survey of advanced improvisational theory and its conception, use, and historical lineage. Examines synthetic, symmetric, and asymmetric scales and modes generated from each. Discussion and analysis of chord symbols and their functions in asymmetric song forms. In-class demonstration by students of linear and vertical approaches to improvising on uncommon chord functions. Prerequisite: MUS 361, or placement by exam with consent of instructor.",4 hours.,"Prerequisite: MUS 361, or placement by exam with consent of instructor.",,,48117,A,A,1,A,Open (Restricted),CNF,11:00 AM,11:50 AM,MW,11,Smith Memorial Hall,"McNeill, C"
7516,2020,Fall,2020-fa,MUS,550,Choral Literature I,Survey of choral and vocal ensemble repertoire from the Middle Ages to about 1750. 2 graduate hours. No professional credit. Prerequisite: Graduate standing in music; consent of instructor.,2 hours.,2 graduate hours. No professional credit. Prerequisite: Graduate standing in music; consent of instructor.,,,71887,A,A,1,A,Open,LCD,2:30 PM,3:50 PM,MW,4411,Krannert Center for Perf Arts,"Megill, A;Solya, A"
7517,2020,Fall,2020-fa,MUS,553,Graduate Orchestral Conducting,"Study of conducting techniques and problems related to standard orchestral literature. May be repeated to a maximum of 12 hours. Prerequisite: MUS 333 or equivalent, and consent of instructor.",2 OR 4 hours.,"May be repeated to a maximum of 12 hours. Prerequisite: MUS 333 or equivalent, and consent of instructor.",,,32827,A,A,1,A,Open (Restricted),CNF,4:00 PM,5:50 PM,TR,2310,Krannert Center for Perf Arts,"Schleicher, D"
7518,2020,Fall,2020-fa,MUS,555,Advanced Choral Techniques I,Intensive laboratory approach to the development of advanced techniques necessary for working effectively with choral ensembles. Choral majors must enroll each term in residence. 2 graduate hours. No professional credit. Prerequisite: Graduate standing in choral music or consent of instructor.,2 hours.,2 graduate hours. No professional credit. Prerequisite: Graduate standing in choral music or consent of instructor.,,,71888,A,A,1,A,Open (Restricted),LCD,11:00 AM,11:50 AM,MWF,61,Music Building,"Solya, A"
7519,2020,Fall,2020-fa,MUS,557,Piano Literature,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,,,30740,A,A,1,A,Open (Restricted),LCD,2:00 PM,3:50 PM,TR,105,Smith Memorial Hall,"Moersch, C"
7520,2020,Fall,2020-fa,MUS,558,Vocal Literature,Study of solo song in larger works and solo art song. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,,,30741,A,A,1,A,Open (Restricted),LCD,1:00 PM,2:50 PM,MW,303,Music Building,"Robards, C"
7521,2020,Fall,2020-fa,MUS,559,Organ Literature,"Intensive study of organ literature from Bach to the present; includes the music itself, recordings, and collateral readings. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.",4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,,,30743,A,A,1,A,Open (Restricted),LCD,ARRANGED,,,ARR,Smith Memorial Hall,"Robinson, D"
7522,2020,Fall,2020-fa,MUS,560,String Instrument Literature,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,,,32831,B,A,1,A,Open,LCD,1:00 PM,2:50 PM,F,323,Music Building,"Cameron, M"
7523,2020,Fall,2020-fa,MUS,561,Wind Instrument Literature,"Survey of solo and ensemble wind literature; includes analysis and performance (when possible) of the music itself, recordings, and collateral readings. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.",4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing in music or consent of instructor.,,,38316,A1,A,1,A,Open (Restricted),CNF,ARRANGED,,,3020,Music Building,"Keeble, J"
7532,2020,Fall,2020-fa,MUS,563,Hist of Voc Ens and Chor Music,"Critical and analytical study of vocal ensemble and choral music from the Middle Ages to the present. May be repeated to a maximum of 8 hours. Prerequisite: MUS 551 or equivalent, or consent of instructor.",2 hours.,"May be repeated to a maximum of 8 hours. Prerequisite: MUS 551 or equivalent, or consent of instructor.",,,30774,A,A,1,A,Open (Restricted),LCD,11:00 AM,12:20 PM,TR,2334,Music Building,"Alwes, C"
7533,2020,Fall,2020-fa,MUS,564,Choral Conducting Project,Participation in a graduate choral conducting laboratory and preparation of a choral ensemble for public performance. Required during the final term in residence for candidates in the Master of Music in choral music curriculum. Prerequisite: Consent of instructor.,2 hours.,Prerequisite: Consent of instructor.,,One additional hour to be arranged.,30782,A,A,1,A,Open (Restricted),LBD,ARRANGED,,,,,"Megill, A"
7534,2020,Fall,2020-fa,MUS,565,Adv Choral Perform Techniques,"Study of performance problems and musical analysis of choral music with techniques of preparation and rehearsal from the various style periods: Renaissance, Baroque, Classic-Romantic, and Contemporary. May be repeated to a maximum of 8 hours. Prerequisite: Admission into the Doctor of Musical Arts choral music program, or the equivalent background in other doctoral programs.",2 hours.,"May be repeated to a maximum of 8 hours. Prerequisite: Admission into the Doctor of Musical Arts choral music program, or the equivalent background in other doctoral programs.",,,30784,A,A,1,A,Open (Restricted),LCD,9:00 AM,10:50 AM,MW,114,Smith Memorial Hall,"Megill, A"
7535,2020,Fall,2020-fa,MUS,572,Doctoral Orchestral Conducting,"Advanced study in orchestral conducting performance, pedagogy, score study/analysis, and rehearsal techniques. May be repeated to a maximum of 16 hours. Prerequisite: Admission into the doctoral concentration in orchestral conducting; consent of instructor.",4 hours.,May be repeated to a maximum of 16 hours. Prerequisite: Admission into the doctoral concentration in orchestral conducting; consent of instructor.,,,61876,A,A,1,A,Open,LBD,ARRANGED,,,4409,Krannert Center for Perf Arts,"Schleicher, D"
7536,2020,Fall,2020-fa,MUS,573,Doctoral Wind Band Conducting,"Advanced study in wind band conducting performance, pedagogy, score study/ analysis, and rehearsal techniques. May be repeated to a maximum of 16 hours. Prerequisite: Admission into the doctoral concentration in wind band conducting; for doctoral cognate students, consent of instructor.",4 hours.,"May be repeated to a maximum of 16 hours. Prerequisite: Admission into the doctoral concentration in wind band conducting; for doctoral cognate students, consent of instructor.",,,58298,A,A,1,A,Open (Restricted),LCD,ARRANGED,,,141,Harding Band Building,"Peterson, S"
7537,2020,Fall,2020-fa,MUS,574,Jazz Arranging III,"Advanced arranging styles and orchestration techniques, with emphasis on brass section arranging, saxophone section arranging, and big band arranging. Orchestration techniques with emphasis on band planing (parallelism), 5-part spread, cluster voicings, and line-writing. Study of jazz related re-harmonization techniques with emphasis on tonicization, secondary dominants, and passing chord re-harmonization. Prerequisite: MUS 363, or placement by exam/portfolio with consent of instructor.",4 hours.,"Prerequisite: MUS 363, or placement by exam/portfolio with consent of instructor.",,,50640,A,A,1,A,Open (Restricted),CNF,1:00 PM,1:50 PM,TR,5E,Smith Memorial Hall,"McNeill, C"
7538,2020,Fall,2020-fa,MUS,576,Doctoral Projects,"Special projects for candidates for the Doctor of Musical Arts degree. Open only to students in the Doctor of Musical Arts program. Approved for S/U grading only. May be repeated. (Summer session, 0 to 8 graduate hours). Prerequisite: Consent of instructor.",0 TO 16 hours.,"Approved for S/U grading only. May be repeated. (Summer session, 0 to 8 graduate hours). Prerequisite: Consent of instructor.",,,10028,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7539,2020,Fall,2020-fa,MUS,577,Advanced Accompanying,"Principles of accompanying singers and instrumentalists, practical experience in accompanying, and facility in sight reading for keyboard performers. May be repeated to a maximum of 12 hours. Prerequisite: Graduate standing in music or consent of instructor.",4 hours.,May be repeated to a maximum of 12 hours. Prerequisite: Graduate standing in music or consent of instructor.,,,32833,AJG,A,1,A,Open (Restricted),CNF,ARRANGED,,,ARR,Smith Memorial Hall,"Gunn, J;Tilley, M"
7542,2020,Fall,2020-fa,MUS,599,Thesis Research,Research in special projects. Approved for S/U grading only. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,0 TO 16 hours.,Approved for S/U grading only. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,,,10030,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
7543,2020,Fall,2020-fa,MUSE,200,Introduction to Museums,"A broad introduction to the museum world, focusing on what a museum is, what differentiates various types of museums, and how museums function. Examines museums in terms of education, curation, exhibition, public relations, research, administration, ethical and legal obligations, funding and knowledge. Prerequisite: One year of college coursework.",3 hours.,Prerequisite: One year of college coursework.,,,55606,,A,1,A,Open,LCD,9:00 AM,9:50 AM,MWF,217,Gregory Hall,"Frankenberg, S"
7544,2020,Fall,2020-fa,MUSE,390,Museum Internship,"Supervised field experience in museums, both on and off-campus, designed to introduce students to professional practice. Builds on museum studies coursework, and provides opportunities for applying academic knowledge and analyzing personal development. Students work part-time (150 hours) in a program-approved museum under the guidance of an instructional team. Requires an internship contract before the term, regular reporting and documentation during the term, and compilation of a project portfolio at the end of the term. May be repeated in same and separate terms to a maximum of six hours. Prerequisite: Three courses (nine hours) within the undergraduate minor in Museum Studies. Requires approval of the Museum Studies program advisor.",3 hours.,May be repeated in same and separate terms to a maximum of six hours. Prerequisite: Three courses (nine hours) within the undergraduate minor in Museum Studies. Requires approval of the Museum Studies program advisor.,,,60355,,A,1,A,Open (Restricted),LEC,ARRANGED,,,,,"Frankenberg, S"
7545,2020,Fall,2020-fa,MUSE,500,Core Prob Museum Theory &amp; Prac,"A critical examination of both historical and current theoretical issues in museum practice. Addresses the development of museums within varied social, cultural and intellectual contexts, and the conceptualizations and criticisms of museums in terms of paradigmatic, institutional, symbolic and other theories. In addition to surveying the broad range of theoretical frameworks adopted in contemporary museum scholarship, students will examine and evaluate curatorial and institutional strategies for responding to the myriad external pressure (including multiple constituencies, standards and best practices) currently placed on museums. Prerequisite: Graduate standing.",4 hours.,Prerequisite: Graduate standing.,,,55607,,A,1,A,Open,LCD,11:00 AM,11:50 AM,MWF,109A,Davenport Hall,"Frankenberg, S"
7546,2020,Fall,2020-fa,NEUR,314,Introduction to Neurobiology,Same as MCB 314. See MCB 314.,3 hours.,Same as MCB 314. See MCB 314.,,,55476,A,A,1,A,CrossListOpen (Restricted),LEC,3:00 PM,3:50 PM,MWF,100,Gregory Hall,"Llano, D"
7547,2020,Fall,2020-fa,NEUR,403,Memory and Amnesia,Same as PSYC 403. See PSYC 403.,3 OR 4 hours.,Same as PSYC 403. See PSYC 403.,,,45299,G4,A,1,A,CrossListOpen (Restricted),LEC,3:00 PM,5:20 PM,W,180,Bevier Hall,"Schwarb, H;Smith, C"
7549,2020,Fall,2020-fa,NEUR,417,Neuroscience of Eating &amp; Drinking,Same as FSHN 417 and PSYC 417. See PSYC 417.,3 OR 4 hours.,Same as FSHN 417 and PSYC 417. See PSYC 417.,,,69623,NL3,A,1,A,CrossListOpen (Restricted),LEC,1:00 PM,2:50 PM,WF,1306,Everitt Laboratory,"Liang, N"
7551,2020,Fall,2020-fa,NEUR,433,Evolutionary Neuroscience,"Same as IB 436, PHIL 433 and PSYC 433. See PSYC 433.",3 OR 4 hours.,"Same as IB 436, PHIL 433 and PSYC 433. See PSYC 433.",,,51757,G4,A,1,A,CrossListOpen (Restricted),LEC,9:30 AM,10:50 AM,TR,2,Education Building,"Rhodes, J"
7553,2020,Fall,2020-fa,NEUR,453,Cog Neuroscience of Vision,Same as PSYC 453. See PSYC 453.,3 OR 4 hours.,Same as PSYC 453. See PSYC 453.,,,53264,AG4,A,1,A,CrossListOpen (Restricted),LEC,3:30 PM,5:50 PM,R,815,Psychology Building,"Beck, D"
7555,2020,Fall,2020-fa,NEUR,500,Topics in Neuroscience,"Critical reading and discussion of current papers from the neuroscience literature, and discussion of other relevant topics such as ethics and career and professional skills development. Grading based on attendance and participation. Approved for letter and S/U grading. May be repeated to a maximum of 2 hours. Prerequisite: Enrollment in Neuroscience Ph.D. program or consent of instructor.",1 hours.,Approved for letter and S/U grading. May be repeated to a maximum of 2 hours. Prerequisite: Enrollment in Neuroscience Ph.D. program or consent of instructor.,,,48606,FIN,A,1,A,Open (Restricted),LCD,2:30 PM,3:20 PM,T,4269,Beckman Institute,"Beshers, S;Gillette, M"
